,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
PUM1,2612.01029292619,1.14781663401006,0.198892187019068,0.050853328006049,3.91109480574033,9.18786954954372e-05,1,0.000226496498744298,1.6029157216134
PRSS23,196.072176871644,1.46637308106593,0.552252206968921,0.141210287311898,3.91084968015916,9.19720013331327e-05,1,0.00022669448082196,1.60454353525783
PPRC1,2859.49144180414,1.13325660509946,0.180474569886126,0.0461539795487644,3.91027104597652,9.21926106672042e-05,1,0.000227206142915672,1.60839228570004
PPP2R2A,1511.30544732755,1.18626832058935,0.246430368232102,0.0630383275669282,3.90921488154116,9.25965718278978e-05,1,0.00022816946216236,1.61543979210951
SDS,7.89059722998548,0.144518302182376,-2.79067588385196,0.713880017915753,-3.90916654594092,9.26150991453837e-05,1,0.00022818288655421,1.61576301969036
C2CD4A,22.8135357091272,3.01613288186344,1.59269999086862,0.407433231921277,3.90910673476029,9.26380299664213e-05,1,0.000228207154870684,1.61616307079419
KCNN1,8.39274572123657,0.142834112658869,-2.80758751967669,0.718499305334043,-3.90757165502253,9.32283975122013e-05,1,0.000229629058731874,1.62646262299786
ZMIZ1-AS1,41.4696508657644,0.459015406428541,-1.12338551770789,0.287492250492685,-3.90753321448737,9.32432266411422e-05,1,0.000229633163746664,1.62672133198137
NABP2,1085.56231328731,1.19394226101575,0.255733069634213,0.0654633267587002,3.90650891569952,9.36391898485872e-05,1,0.000230575766562943,1.63362930609845
GPKOW,611.557000927255,0.813285846441891,-0.298165587895501,0.0763290235604139,-3.90631995520688,9.37124095870935e-05,1,0.000230723496705678,1.63490669765643
SOWAHD,11.5651858796831,4.9249866275872,2.30011980734265,0.588848745743048,3.9061300953273,9.3786032279425e-05,1,0.000230872177105524,1.63619111914685
NLGN4X,139.189190143708,1.49126452738451,0.576536192226285,0.147635713500748,3.90512687313537,9.41759633129757e-05,1,0.000231799358910578,1.64299385595817
LRP5L,152.009405869356,1.47447854723769,0.56020483222064,0.143457953646476,3.90501061796235,9.42212480716714e-05,1,0.000231878106059864,1.64378389385838
NUDCD2,1350.27879100802,1.20141712094791,0.2647371284332,0.0677988395995686,3.90474424041447,9.43250873969624e-05,1,0.000232100913219662,1.64559547472741
GADD45GIP1,1488.61492658765,1.1687707937835,0.224992032441104,0.0576301314155635,3.90406939763359,9.45886385923335e-05,1,0.000232716596937223,1.65019338888185
SQRDL,1482.43238503718,0.86234046052836,-0.21367052285649,0.0547330167565031,-3.90386891713041,9.46670675612286e-05,1,0.000232876714702932,1.65156166067319
IGSF8,1409.60993749634,1.18462513762184,0.24443060540863,0.0626327294099284,3.90260184589502,9.51641744442019e-05,1,0.000234066570894339,1.66023418735355
TTPAL,734.731266683937,1.22787963006635,0.29616913919511,0.0758920382967831,3.90250605784117,9.52018547752893e-05,1,0.000234126241670383,1.6608915584097
EVI5,297.394545391105,1.3740865866016,0.458472916910648,0.11750265102019,3.90180913307114,9.54764298542756e-05,1,0.000234768399610668,1.66568179523769
CADM4,575.244715767878,0.804428240217822,-0.313964365174663,0.0805021751061285,-3.90007306958792,9.61636608245242e-05,1,0.000236424919214297,1.67767122674465
KIAA1524,1141.92061294558,1.25722535617342,0.330243274335489,0.084762886668405,3.8960833840807,9.77607437875857e-05,1,0.00024031758998425,1.70553393611822
TRMO,280.149485002426,1.32917951788186,0.41053596696749,0.105393050871789,3.89528496965998,9.8083344213769e-05,1,0.000241076644569374,1.71116202315341
SH3BGRL,1162.66075593068,0.858124659515151,-0.220740852056932,0.0566879540422334,-3.89396399616887,9.86192933502992e-05,1,0.000242359795997932,1.72051219178932
MINOS1,291.151746980147,0.719933868740704,-0.474063704473567,0.121761741135808,-3.89337159645915,9.88605403423015e-05,1,0.000242918448846731,1.72472098681179
MFSD3,762.013924731451,0.806130048226486,-0.31091549584032,0.0798688033077881,-3.89282777459622,9.9082495030857e-05,1,0.000243403828112845,1.72841058342931
GPATCH11,509.35178029306,1.28505410496601,0.361829102861095,0.0929478303057529,3.89281924786038,9.90859788637754e-05,1,0.000243403828112845,1.72865398725743
SERTAD2,933.701240258149,1.23984371610697,0.310158278509541,0.079677051872577,3.89269270411208,9.91376953946336e-05,1,0.000243496583676584,1.72955623385478
