ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3936	1,0,3	50,42,45	4,1,0	62,36,49	130	99
3942	2,1,0	161,110,91	5,5,1	222,132,174	115	99
3945	1,4,1	0,0,1	0,2,1	0,0,0	101	99
3946	58,42,35	2,0,0	27,31,34	2,0,0	146	99
3947	29,21,20	0,3,0	21,10,21	2,1,0	198	99
3948	21,9,13	10,4,6	12,28,18	9,4,10	105	99
3952	50,31,22	23,9,7	63,37,60	9,21,19	101	99
3955	47,27,10	0,1,0	17,10,17	0,0,0	198	99
3956	62,33,16	8,0,1	20,14,22	0,0,5	198	99
3957	992,690,599	5,2,4	739,592,738	2,2,5	198	99
3958	146,108,78	588,412,364	82,76,108	339,308,349	104	99
3960	0,0,0	0,1,0	2,2,0	0,0,0	105	99
3963	7,3,2	1,0,0	2,2,5	1,0,0	198	99
3964	37,15,19	9,7,5	37,37,37	23,10,17	101	99
3965	6,2,4	2,1,1	7,4,2	0,1,9	101	99
3966	10,3,4	7,5,4	6,13,12	12,7,5	101	99
3968	0,1,0	75,46,43	0,0,0	45,32,56	130	99
3969	2,2,1	56,39,29	1,0,0	38,17,24	157	99
3970	3,7,5	98,81,55	1,1,0	58,34,62	198	99
3971	53,42,17	2,0,1	48,39,26	0,3,0	101	99
3972	50,42,18	4,3,3	48,41,26	2,0,1	198	99
3973	1,0,0	124,103,87	3,0,1	187,161,205	198	99
3975	20,9,11	8,7,11	8,5,12	2,7,8	101	99
3979	15,19,19	18,31,29	25,20,20	22,20,21	131	99
3980	9,8,2	3,2,2	8,10,7	3,5,5	131	99
3981	9,8,2	8,8,7	5,8,11	6,0,3	131	99
3982	5,3,4	97,55,34	4,5,11	102,77,92	119	99
3983	55,41,35	0,2,0	82,39,63	0,0,0	147	99
3985	381,258,198	22,21,26	367,323,388	34,27,20	101	99
3986	24,12,27	4,3,0	15,15,7	2,0,5	114	99
3987	287,198,177	4,7,5	389,351,397	13,16,9	101	99
3988	160,105,101	0,2,1	226,209,227	3,2,4	169	99
3989	19,11,7	2,0,2	24,5,15	0,0,0	198	99
3990	142,138,72	0,0,0	131,87,95	2,0,0	198	99
3991	87,50,49	0,2,0	64,68,87	1,0,1	149	99
3993	1,0,2	4,0,0	0,0,1	0,0,0	103	99
3994	10,9,4	257,205,160	13,0,6	443,327,410	198	99
3995	150,105,102	280,205,149	236,222,250	459,273,441	101	99
3996	27,33,20	0,0,0	25,25,41	4,0,0	169	99
3997	3,3,1	7,1,1	2,3,0	7,3,3	173	99
3998	315,267,200	3,0,0	401,335,344	0,0,0	114	99
3999	1809,1278,1112	0,0,1	1900,1607,1878	0,0,0	198	99
4002	1,0,0	0,2,0	2,0,1	0,0,0	160	99
4010	527,382,328	4,2,4	619,406,478	9,7,10	125	99
4011	182,92,92	14,2,12	168,105,130	10,17,21	136	99
4014	15,5,5	5,2,0	13,11,24	7,10,5	101	99
4019	16,2,3	10,6,5	12,11,13	10,11,14	104	99
4022	27,20,21	0,0,0	23,7,10	2,0,0	198	99
4025	2,0,1	3,5,2	1,3,1	1,3,4	118	99
4030	23,17,19	7,4,1	9,1,3	3,0,2	101	99
4031	0,1,1	1,0,3	2,2,0	0,0,1	101	99
4032	22,16,15	0,1,2	14,14,16	1,0,0	102	99
4033	2,0,2	15,3,14	0,1,1	11,4,13	104	99
4034	12,19,15	6,0,0	29,23,9	3,0,6	101	99
4037	3,5,3	2,5,0	3,2,2	3,0,0	113	99
4038	4,2,1	96,60,48	5,1,2	91,66,91	198	99
4039	11,12,14	505,313,259	21,6,20	437,317,405	156	99
4043	35,20,18	0,0,1	10,14,14	0,0,0	198	99
4044	0,1,0	0,2,0	3,4,1	0,1,0	103	99
4045	19,12,9	0,1,0	5,4,6	0,0,0	103	99
4049	14,5,4	454,347,249	9,9,15	445,355,417	110	99
4050	353,265,152	10,15,5	333,314,376	18,10,17	152	99
4051	365,276,163	1,0,1	354,330,402	2,0,0	156	99
