ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
39401	114,102,94	0,0,1	96,100,71	0,0,1	198	99
39402	165,108,112	1,0,2	116,102,110	0,0,0	192	99
39403	99,90,73	0,0,0	64,59,71	1,0,0	198	99
39404	129,89,86	2,0,2	82,68,86	3,0,0	198	99
39407	40,37,35	1,1,0	42,33,50	3,1,0	198	99
39408	18,16,9	2,0,0	21,15,13	2,2,1	179	99
39409	44,31,34	0,0,0	59,32,43	0,0,2	198	99
39410	27,16,27	0,0,0	28,33,33	0,1,0	198	99
39411	15,12,15	0,0,2	28,17,25	0,0,0	198	99
39412	205,146,131	1,0,1	203,123,170	0,0,1	198	99
39413	126,67,80	0,0,0	123,64,113	0,0,1	198	99
39414	125,83,75	30,26,16	112,64,94	18,9,22	198	99
39415	147,102,90	1,0,0	100,74,85	5,1,4	172	99
39416	0,2,0	110,82,74	0,0,2	95,68,80	196	99
39417	51,40,35	0,0,0	64,34,49	1,0,0	198	99
39418	79,74,69	0,0,0	71,64,83	0,1,0	198	99
39419	0,0,2	141,105,86	0,1,0	139,79,110	198	99
39420	47,35,28	0,1,0	28,17,15	0,0,0	142	99
39421	169,100,97	0,0,0	116,89,109	0,1,0	142	99
39423	244,121,124	0,0,0	152,116,159	0,0,1	198	99
39424	227,117,97	0,0,0	159,120,133	0,1,0	198	99
39425	111,83,87	0,1,0	108,106,126	0,0,0	163	99
39426	106,88,76	0,0,0	119,94,141	1,0,0	198	99
39427	122,96,93	0,4,0	152,120,155	2,0,2	198	99
39430	6,11,7	2,0,0	11,6,8	0,0,0	161	99
39431	7,12,7	2,0,4	11,6,7	0,0,0	161	99
39432	6,12,7	0,0,3	11,7,7	0,1,2	161	99
39433	29,18,13	0,12,11	14,20,23	6,8,15	161	99
39434	2,0,0	0,12,11	0,0,0	6,8,15	182	99
39435	0,0,0	23,7,6	0,0,1	3,14,16	182	99
39436	2,0,6	0,0,3	0,0,0	0,1,2	191	99
39437	7,0,4	0,12,11	0,1,1	6,8,15	191	99
39438	1,1,2	0,1,0	0,0,0	0,1,0	191	99
