,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
DSCAML1,0.340461107045923,0.755242899669144,-0.404987379204939,3.49814280550648,-0.115772111580877,0.907833153595964,1,NA,NA
FOXL2NB,3.42466839850802,0.921046140734834,-0.118654663498081,1.02656680918073,-0.115583966320493,0.907982270750292,1,NA,NA
KMT5B,2521.0952803269,1.00467027896407,0.00672210344169499,0.0583636718977264,0.115176157070351,0.908305496793333,1,0.971512138832435,17325.9474839377
LINC00944,0.324927205392139,0.755244759826488,-0.404983825862735,3.51680814202027,-0.115156644749488,0.908320962469114,1,NA,NA
TNFRSF4,0.743952988845887,0.829452912618707,-0.269768012030138,2.34461165723687,-0.115058718230575,0.908398580607984,1,NA,NA
NIT1,702.555437711696,0.994146497384401,-0.00846963195606553,0.0736121218900723,-0.115057571207002,0.908399489762557,1,0.971512138832435,17328.8620203542
CELF4,21.6310238047205,0.968836554633689,-0.0456747953032694,0.397122188362149,-0.115014463159679,0.908433658178167,1,0.971512138832435,17329.833532493
SLC30A5,1447.02711329367,1.00445859953976,0.00641810218015495,0.0558199007472732,0.114978745827822,0.908461968673478,1,0.971512138832435,17330.8050446318
C20orf195,0.47999827731616,1.24955053128408,0.321409244568981,2.7964627479585,0.114934212802806,0.908497266881568,1,NA,NA
SYNGAP1,13.0261367023717,1.046700297822,0.0658484138621762,0.572957851772597,0.114927151549554,0.90850286385877,1,0.971512138832435,17332.7480689095
PRKACA,3362.29080394984,1.00424998991539,0.00611844689593661,0.0532761125432359,0.114844094357884,0.908568698010087,1,0.971512138832435,17333.7195810483
KIAA1033,1142.92935822971,0.993717565135209,-0.00909222828954481,0.0792097661613919,-0.114786707879167,0.908614184987405,1,0.971512138832435,17334.6910931871
MAP3K19,0.312184518033603,0.755244940146289,-0.404983481409565,3.53173600356244,-0.114669805727569,0.908706847559138,1,NA,NA
LOC102467147,0.326217223716346,0.755245261292108,-0.404982867945828,3.53240307584849,-0.114647977382522,0.908724149949676,1,NA,NA
IFNB1,0.428048243912015,1.23638310640022,0.306125846853958,2.67017057989726,0.114646550733001,0.908725280794915,1,NA,NA
MTTP,18.1162542880086,0.964917524455623,-0.0515224604277679,0.449566442746957,-0.114604773685851,0.908758395790001,1,0.971590862563145,17339.9821241644
LOC729083,0.310472506140465,0.755244954361915,-0.404983454254383,3.53740492413232,-0.114486032258159,0.90885251823816,1,NA,NA
TRIM3,205.502379698685,1.01019120587836,0.0146283876945537,0.127811643785633,0.114452699779752,0.90887894003424,1,0.971590862563145,17341.9253058896
LINC00853,8.86418044943174,1.05241761635707,0.0737073030066697,0.644475618320761,0.114367868871007,0.908946183762684,1,0.971590862563145,17342.8968967521
WDR31,64.9685570916169,0.982227086013475,-0.0258714878718366,0.226228388318266,-0.114360041479143,0.9089523884092,1,0.971590862563145,17343.8684876147
PTTG2,2.66674723552809,1.10860965478743,0.148751477100953,1.30106864809861,0.114330229475854,0.908976019951308,1,NA,NA
SPATA5L1,334.070803155304,0.991470084779305,-0.0123588516229914,0.10815687037084,-0.114267836898537,0.909025477902007,1,0.971598286029439,17345.9442004836
EEF1D,49.6445085925724,0.975501449112816,-0.0357840789199792,0.313593030295352,-0.114109930588306,0.909150650175908,1,0.971661372266728,17348.0421404502
TTC28-AS1,100.167497540353,0.984371604349841,-0.0227250531564332,0.199376497372421,-0.113980601805761,0.9092531707344,1,0.971666859059799,17349.1117685127
BRINP3,4.69782574207532,0.927983734703514,-0.107828576245967,0.947107866991558,-0.11385036488872,0.909356412709786,1,NA,NA
RNASEH2B,244.663102288038,1.00925324788281,0.0132882295698575,0.116761014112703,0.113807075682224,0.909390729456927,1,0.971666859059799,17351.0551022308
PRODH,3.34770530360442,1.07794501571758,0.108283590358802,0.952031516554427,0.113739501766391,0.909444297812609,1,NA,NA
HOXD12,0.318286052648011,0.755245180258526,-0.404983022738926,3.56189715248861,-0.1136986851111,0.909476654892413,1,NA,NA
