ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
179	5,11,6	396,417,227	16,11,7	302,191,191	288	99
180	17,18,8	0,2,0	17,9,18	0,0,0	444	99
181	19,16,8	0,0,0	13,13,17	1,0,0	313	99
182	2,11,4	0,0,0	8,2,6	1,0,0	230	99
186	27,21,14	8,14,2	43,23,15	38,27,22	498	99
187	3,0,2	20,35,21	0,4,0	36,25,19	104	99
188	27,33,28	35,57,15	32,17,22	27,30,24	275	99
189	3,1,0	84,90,42	0,5,1	78,51,49	103	99
192	3,0,0	1,5,1	1,2,0	5,5,3	135	99
194	1,4,0	38,64,36	0,0,0	59,47,51	161	99
195	4884,5543,3076	2,1,0	4780,3121,3224	0,0,1	406	99
196	3271,3837,2222	65,96,44	2760,2259,1718	68,54,43	1118	99
197	7883,9101,5121	139,137,84	7220,5171,4742	152,104,90	207	99
201	20,22,11	0,4,1	31,16,14	3,2,0	114	99
202	51,74,35	238,250,140	36,39,36	361,281,225	2582	99
204	4,3,4	169,184,109	3,3,0	190,113,140	106	99
205	22,32,18	0,2,0	12,16,9	1,0,2	122	99
210	1,0,1	22,30,22	2,5,1	20,15,14	145	99
212	77,85,46	1,0,0	98,76,56	0,0,0	237	99
213	1,5,4	94,83,38	2,1,1	135,90,74	197	99
214	18,28,8	4,2,0	31,26,22	2,1,4	159	99
215	22,39,12	999,1142,641	42,27,25	1439,1162,779	215	99
216	5,1,6	674,677,414	8,6,3	940,705,547	202	99
217	679,682,417	2,6,7	945,708,547	0,4,2	253	99
220	3,1,1	0,0,0	8,0,1	0,3,1	127	99
221	82,102,86	7,13,7	99,61,59	6,4,3	254	99
225	3,1,3	85,101,54	2,1,1	75,55,51	225	99
226	11,1,4	15,20,13	12,7,6	28,13,7	114	99
229	6,0,0	0,0,2	7,0,2	1,1,0	180	99
230	4,8,4	248,229,134	2,7,2	142,107,90	114	99
231	27,38,20	7,16,4	29,21,14	1,6,1	126	99
232	45,68,32	15,14,12	35,30,16	7,2,4	126	99
233	4,6,1	3,0,2	1,3,3	1,2,0	105	99
234	28,25,13	4,6,0	21,27,21	7,4,8	162	99
235	0,1,0	141,139,92	0,0,0	84,50,59	103	99
236	290,323,172	1,0,0	208,117,112	0,0,0	561	99
237	125,117,70	7,9,6	50,37,44	9,1,1	247	99
238	92,104,62	3,1,0	75,44,59	2,1,3	218	99
239	6,9,5	33,52,33	2,3,4	37,27,22	500	99
240	25,48,23	3,4,1	48,29,24	8,1,0	417	99
241	18,27,11	69,113,50	24,18,23	89,47,47	526	99
242	13,22,8	1,3,4	19,15,23	0,0,3	526	99
246	23,42,17	1,1,0	56,35,28	2,2,0	106	99
249	13,14,11	15,9,7	7,7,3	16,8,8	106	99
250	88,101,50	267,289,168	70,52,44	254,160,174	215	99
251	2,1,0	26,18,9	0,0,0	32,19,15	108	99
252	6,1,4	52,66,28	4,1,1	55,26,36	235	99
254	2,1,0	0,1,1	3,1,1	0,0,0	117	99
255	2,6,1	43,65,37	6,1,2	99,77,54	157	99
256	33,32,23	9,7,7	34,25,17	6,5,1	316	99
257	3,1,5	0,0,1	1,0,0	1,0,0	206	99
265	368,432,215	1771,2034,1063	654,334,391	2282,1617,1426	179	99
266	1356,1593,858	8,2,2	1821,1295,1110	10,4,0	103	99
268	0,1,2	0,0,0	1,0,1	0,3,0	158	99
269	152,158,93	5,0,0	127,91,105	0,0,1	335	99
270	187,217,108	4,2,0	212,144,131	0,3,1	428	99
272	26,42,16	7,8,9	26,16,12	8,7,5	269	99
274	2,0,0	4,1,2	1,2,0	0,3,0	939	99
275	0,1,0	0,1,0	0,0,1	2,0,4	136	99
276	2,1,0	0,0,0	0,0,0	0,1,0	166	99
278	0,1,1	46,59,34	0,0,0	63,38,44	146	99
279	26,24,18	5,10,5	31,11,16	11,4,7	108	99
282	26,28,15	5,14,8	23,26,6	2,7,12	501	99
283	29,29,16	5,14,8	26,25,7	2,7,12	504	99
284	3,1,2	0,0,1	3,0,1	0,1,0	102	99
285	527,550,321	23,19,23	608,439,349	24,20,8	108	99
287	0,1,1	45,68,33	1,1,0	56,27,32	312	99
288	1,1,0	27,29,21	0,0,0	41,27,18	135	99
289	65,61,40	0,1,1	49,47,23	4,0,1	110	99
290	5,5,7	61,58,52	5,7,1	72,31,21	216	99
291	76,83,48	1,0,3	58,56,32	0,0,0	370	99
294	0,1,0	3,0,0	0,0,0	0,0,1	258	99
296	9,6,0	22,30,10	9,2,0	13,13,7	103	99
297	29,30,16	13,17,6	28,16,16	15,9,9	314	99
298	29,31,16	1,0,0	29,16,16	0,0,0	320	99
299	13,18,6	1,0,0	16,9,9	0,0,0	105	99
300	28,44,21	1,2,0	42,34,20	0,0,0	105	99
303	0,0,1	5,4,1	2,0,1	5,7,3	111	99
304	0,3,3	69,50,22	2,9,2	59,37,28	370	99
305	97,102,57	8,6,0	135,69,74	0,7,8	242	99
306	125,138,85	6,1,0	186,103,100	1,2,0	353	99
307	36,42,28	6,1,0	51,41,34	1,2,0	210	99
310	2,4,1	0,0,0	3,6,0	0,24,0	156	99
313	6,6,2	16,15,5	5,4,1	11,6,6	136	99
317	207,266,116	8,2,4	210,188,118	6,3,2	124	99
318	56,66,39	1,0,1	68,66,44	2,1,0	289	99
322	2,9,1	15,29,12	2,2,2	34,18,19	129	99
327	5,8,0	70,102,36	7,0,2	120,82,52	118	99
328	189,208,116	0,1,0	204,185,161	3,1,1	676	99
329	34,28,24	9,9,0	84,53,48	15,13,10	186	99
331	0,1,2	0,1,0	4,0,0	0,0,0	174	99
332	8,6,8	0,0,1	3,18,11	0,0,0	128	99
334	324,383,203	7,2,5	718,525,465	6,0,1	272	99
335	565,683,377	1,1,0	719,524,430	0,0,0	145	99
336	23,17,20	188,231,105	19,25,11	225,158,126	129	99
337	3374,4084,2247	282,330,164	5871,4031,3745	400,285,247	103	99
338	37,35,19	15,15,6	61,52,45	29,23,11	321	99
339	5,7,2	31,65,26	8,10,8	97,58,47	125	99
340	14,11,9	1,0,0	15,14,6	3,0,0	322	99
341	32,26,22	0,0,2	37,43,37	0,0,0	421	99
342	290,360,201	0,0,1	429,344,276	0,0,0	105	99
344	14,21,15	2,1,0	9,5,4	0,0,0	1125	99
345	3,1,1	0,0,0	1,1,1	0,2,1	167	99
347	4,0,2	184,204,104	5,0,8	152,116,97	103	99
348	0,0,0	102,136,54	0,2,0	115,84,56	101	99
349	2,7,1	11,9,6	1,1,1	11,4,6	211	99
350	0,0,1	19,26,20	0,0,0	36,22,16	103	99
351	12,3,9	0,0,0	27,7,10	0,1,0	201	99
355	0,0,0	5,12,1	0,1,2	6,4,8	139	99
